height,reward_atho,cumulative_supply_million_atho
0,50,0.000050
120000,50,6.000050
240000,50,12.000050
360000,50,18.000050
480000,50,24.000050
600000,50,30.000050
720000,50,36.000050
840000,50,42.000050
960000,50,48.000050
1080000,50,54.000050
1200000,50,60.000050
1320000,50,66.000050
1440000,50,72.000050
1560000,50,78.000050
1680000,25,84.000025
1800000,25,87.000025
1920000,25,90.000025
2040000,25,93.000025
2160000,25,96.000025
2280000,25,99.000025
2400000,25,102.000025
2520000,25,105.000025
2640000,25,108.000025
2760000,25,111.000025
2880000,25,114.000025
3000000,25,117.000025
3120000,25,120.000025
3240000,25,123.000025
3360000,12,126.000012
3480000,12,127.440012
3600000,12,128.880012
3720000,12,130.320012
3840000,12,131.760012
3960000,12,133.200012
4080000,12,134.640012
4200000,12,136.080012
4320000,12,137.520012
4440000,12,138.960012
4560000,12,140.400012
4680000,12,141.840012
4800000,12,143.280012
4920000,12,144.720012
5040000,6,146.160006
5160000,6,146.880006
5280000,6,147.600006
5400000,6,148.320006
5520000,6,149.040006
5640000,6,149.760006
5760000,6,150.480006
5880000,6,151.200006
6000000,6,151.920006
6120000,6,152.640006
6240000,6,153.360006
6360000,6,154.080006
6480000,6,154.800006
6600000,6,155.520006
6720000,3,156.240003
6840000,3,156.600003
6960000,3,156.960003
7080000,3,157.320003
7200000,3,157.680003
7320000,3,158.040003
7440000,3,158.400003
7560000,3,158.760003
7680000,3,159.120003
7800000,3,159.480003
7920000,3,159.840003
8040000,3,160.200003
8160000,3,160.560003
8280000,3,160.920003
8400000,1,161.280001
8520000,1,161.400001
8640000,1,161.520001
8760000,1,161.640001
8880000,1,161.760001
9000000,1,161.880001
9120000,1,162.000001
9240000,1,162.120001
9360000,1,162.240001
9480000,1,162.360001
9600000,1,162.480001
9720000,1,162.600001
9840000,1,162.720001
9960000,1,162.840001
10080000,0,162.960000
10200000,0,162.960000
10320000,0,162.960000
10440000,0,162.960000
10560000,0,162.960000
10680000,0,162.960000
10800000,0,162.960000
10920000,0,162.960000
11040000,0,162.960000
11160000,0,162.960000
11280000,0,162.960000
11400000,0,162.960000
11520000,0,162.960000
11640000,0,162.960000
11760000,0,162.960000
11880000,0,162.960000
12000000,0,162.960000
